"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-02-15",57,25530,31740,6210,3600,18000,3930,"2022-02-15T01:14:54.000+01:00","2022-02-15T10:03:54.000+01:00"
"2022-02-16",72,27120,32640,5520,3720,17310,6090,"2022-02-16T01:00:45.000+01:00","2022-02-16T10:04:45.000+01:00"
"2022-02-17",57,24120,32160,8040,3780,17850,2490,"2022-02-17T01:25:38.000+01:00","2022-02-17T10:21:38.000+01:00"
"2022-02-18",64,23160,29880,6720,3690,11880,7590,"2022-02-18T01:36:00.000+01:00","2022-02-18T09:54:00.000+01:00"
"2022-02-19",67,21450,24900,3450,7500,6870,7080,"2022-02-19T07:10:05.000+01:00","2022-02-19T14:05:05.000+01:00"
"2022-02-20",65,28440,38520,10080,3690,14400,10350,"2022-02-20T02:22:16.000+01:00","2022-02-20T13:04:16.000+01:00"
"2022-02-21",71,27480,36660,9180,6270,14430,6780,"2022-02-21T01:37:29.000+01:00","2022-02-21T11:48:29.000+01:00"
"2022-02-22",65,24300,30480,6180,3360,10950,9990,"2022-02-22T01:44:51.000+01:00","2022-02-22T10:12:51.000+01:00"
"2022-02-23",68,26100,32940,6840,3690,13680,8730,"2022-02-23T01:31:54.000+01:00","2022-02-23T10:40:54.000+01:00"
"2022-02-24",59,23130,32220,9090,3960,11610,7560,"2022-02-24T01:01:38.000+01:00","2022-02-24T09:58:38.000+01:00"
"2022-02-25",69,27090,32520,5430,3690,16290,7110,"2022-02-25T01:18:18.000+01:00","2022-02-25T10:20:18.000+01:00"
"2022-02-26",57,17340,21600,4260,4440,5910,6990,"2022-02-26T08:59:34.000+01:00","2022-02-26T14:59:34.000+01:00"
"2022-02-27",64,27660,37200,9540,3780,15720,8160,"2022-02-27T02:09:30.000+01:00","2022-02-27T12:29:30.000+01:00"
"2022-02-28",72,25980,33060,7080,4770,12870,8340,"2022-02-28T01:23:27.000+01:00","2022-02-28T10:34:27.000+01:00"
"2022-03-01",69,25920,29940,4020,2820,11190,11910,"2022-03-01T01:35:04.000+01:00","2022-03-01T09:54:04.000+01:00"
"2022-03-02",60,18870,23100,4230,5490,7380,6000,"2022-03-02T07:19:24.000+01:00","2022-03-02T13:44:24.000+01:00"
"2022-03-03",66,27690,32280,4590,3120,18870,5700,"2022-03-03T00:14:22.000+01:00","2022-03-03T09:12:22.000+01:00"
"2022-03-04",69,24060,30780,6720,4140,11940,7980,"2022-03-04T01:36:00.000+01:00","2022-03-04T10:09:00.000+01:00"
"2022-03-05",44,10290,11640,1350,1950,5160,3180,"2022-03-05T08:50:05.000+01:00","2022-03-05T12:04:05.000+01:00"
"2022-03-06",72,27990,33420,5430,3960,16650,7380,"2022-03-06T01:26:54.000+01:00","2022-03-06T10:43:54.000+01:00"
"2022-03-07",69,24840,30180,5340,4260,13620,6960,"2022-03-07T01:32:22.000+01:00","2022-03-07T09:55:22.000+01:00"
"2022-03-08",65,22800,28080,5280,3120,10800,8880,"2022-03-08T01:26:30.000+01:00","2022-03-08T09:14:30.000+01:00"
"2022-03-09",74,24360,26280,1920,5070,10200,9090,"2022-03-09T00:47:07.000+01:00","2022-03-09T08:05:07.000+01:00"
"2022-03-10",70,25920,33900,7980,5640,12060,8220,"2022-03-10T00:40:53.000+01:00","2022-03-10T10:05:53.000+01:00"
"2022-03-11",67,23460,28740,5280,4200,10680,8580,"2022-03-11T01:27:33.000+01:00","2022-03-11T09:26:33.000+01:00"
"2022-03-12",68,24090,29820,5730,8520,6240,9330,"2022-03-12T07:52:07.000+01:00","2022-03-12T16:09:07.000+01:00"
"2022-03-13",74,28350,34860,6510,6450,13110,8790,"2022-03-13T01:58:39.000+01:00","2022-03-13T11:39:39.000+01:00"
